state,office,district,name,party,general_seat,filing_date,primary_date,election_date
OK,House,5,"Horn, Kendra",D,C,4/13/18,6/26/18,11/6/18
OR,House,1,"Bonamici, Suzanne M.",D,I,3/6/18,5/15/18,11/6/18
OR,House,2,"Scdoris-Salerno, Rachel",D,C,3/6/18,5/15/18,11/6/18
OR,House,2,"McLeod-Skinner, Jamie",D,C,3/6/18,5/15/18,11/6/18
OR,House,4,"Perkinds, Jo Rae",R,C,3/6/18,5/15/18,11/6/18
PA,Senate,,"Ayers, Cynthia E.",R,C,3/6/18,5/15/18,11/6/18
PA,Senate,,"Wright, Theresa M.",D,CP,3/6/18,5/15/18,11/6/18
PA,House,1,"Li, Lindy",D,CP,3/6/18,5/15/18,11/6/18
PA,House,1,"Ahmad, Nina N.",D,CP,3/6/18,5/15/18,11/6/18
PA,House,6,"Houlahan, Chrissy",D,C,3/6/18,5/15/18,11/6/18
PA,House,7,"Sheehan, Molly",D,C,3/6/18,5/15/18,11/6/18
PA,House,7,"Moro, Elizabeth",D,C,3/6/18,5/15/18,11/6/18
PA,House,8,"Reddick, Rachel",D,C,3/6/18,5/15/18,11/6/08
PA,House,8,"Mihalek, Valerie L.",R,CP,3/6/18,5/15/18,11/6/18
PA,House,10,"Herschel, Judith L.",D,C,3/6/18,5/15/18,11/6/18
PA,House,11,"Sebastian, Gigi",D,C,3/6/18,5/15/18,11/6/18
PA,House,12,"Tarasi, Beth",D,C,3/6/18,5/15/18,11/6/18
PA,House,15,"Quick, Laura",D,O,3/6/18,5/15/18,11/6/18
PA,House,15,"Wild, Susan Ellis",D,O,3/6/18,5/15/18,11/6/18
PA,House,16,"Hartman, Christina M.",D,C,3/6/18,5/15/18,11/6/18
PA,House,16,"King, Jessica",D,C,3/6/18,5/15/18,11/6/18
SC,House,1,"Arrington, Katherine E.",R,CP,3/30/18,6/12/18,11/6/18
SC,House,2,"Robertson, Annabelle",D,C,3/30/18,6/12/18,11/6/18
SC,House,3,"Geren, Mary Smith",D,C,3/30/18,6/12/18,11/6/18
SD,House,AL,"Krebs, Shantel",R,O,3/27/18,6/5/18,11/6/18
TN,Senate,,"Blackburn, Marsha",R,O,4/5/18,8/2/18,11/6/18
TN,House,2,"Massey, Becky Duncan",R,O,4/5/18,8/2/18,11/6/18
TN,House,2,"Hoyos, Renee",D,O,4/5/18,8/2/18,11/6/18
TN,House,3,"Mitchell, Danielle",D,C,4/5/18,8/2/18,11/6/18
TN,House,4,"Phillips, Mariah N.",D,C,4/5/18,8/2/18,11/6/18
TX,Senate,,"Hernandez, Sema",D,C,12/11/17,3/6/18,11/6/18
TX,Senate,,"Sam, Geraldine",D,C,12/11/17,3/6/18,11/6/18
TX,House,1,"McKellar, Shirley J.",D,C,12/11/17,3/6/18,11/6/18
TX,House,2,"Malik, Silky",D,O,12/11/17,3/6/18,11/6/18
TX,House,3,"Burch, Lorie L.",D,O,12/11/17,3/6/18,11/6/18
TX,House,5,"Pounds, Bunni",R,O,12/11/17,3/6/18,11/6/18
TX,House,6,"Sanchez, Jana L.",D,C,12/11/17,3/6/18,11/6/18
TX,House,6,"Woolridge, Ruby Faye",D,C,12/11/17,3/6/18,11/6/18
TX,House,7,"Fletcher, Elizabeth Pannill",D,C,12/11/17,3/6/18,11/6/18
TX,House,7,"Moser, Laura",D,C,12/11/17,3/6/18,11/6/18
TX,House,10,"Walker, Tami",D,C,12/11/17,3/6/18,11/6/18
TX,House,11,"Leeder, Virginia",D,C,12/11/17,3/6/18,11/6/18
TX,House,12,"Granger, Kay N.",R,I,12/11/17,3/6/18,11/6/18
TX,House,12,"Adia, Vanessa M.",D,C,12/11/17,3/6/18,11/6/18
TX,House,14,"Bell, Adrienne",D,C,12/11/17,3/6/18,11/6/18
TX,House,16,"LeClaire, Nicole J.",D,O,12/11/17,3/6/18,11/6/18
TX,House,16,"Fenenbock, Dori",D,O,12/11/17,3/6/18,11/6/18
TX,House,16,"Escobar, Veronica",D,O,12/11/17,3/6/18,11/6/18
